k1,k2,k3,k4,r2,best_r2
7.279184353239373e-08,3.4852010423028956e-08,9.319186277875116e-10,0.02373899535775144,0.9376212418079376,0.9376212418079376
7.399362829860236e-08,1.2241932889829052e-11,4.6578780591413513e-07,0.05288871413404052,0.937702739238739,0.937702739238739
2.9343116861847156e-10,1.3353767798384872e-08,6.0275088310155995e-09,0.0013803624216752147,0.9370157361030579,0.937702739238739
4.29038676646018e-09,5.685862062528802e-08,1.9228801920642777e-09,0.00012059855974180068,0.9379400491714478,0.9379400491714478
5.721709731959869e-09,5.040376599943706e-10,1.534935267548347e-10,0.00013255785555607008,0.9530883252620697,0.9530883252620697
3.403194609028629e-08,4.7135618903145e-10,3.3472098144445245e-08,0.0001532253388610839,0.9380194008350372,0.9530883252620697
3.6226003032681922e-09,2.0376921410171459e-07,2.406131022087731e-10,0.04286933174021723,0.9366778492927551,0.9530883252620697
2.1208770124834725e-10,2.777817767860677e-08,2.738701348010414e-08,0.0005677211860012101,0.9374115407466889,0.9530883252620697
6.382849203119401e-11,2.1882712714676134e-07,3.6546040298666663e-10,0.00015573898161394596,0.9635087013244629,0.9635087013244629
1.503077448385865e-07,2.9264518632718864e-09,6.097788684152609e-10,0.0027833374273704505,0.937520045042038,0.9635087013244629
1.388025459377828e-10,4.109348748669242e-07,2.5155724719163834e-09,0.00010404832050251254,0.9364882647991181,0.9635087013244629
4.96746771857708e-11,4.220121986681237e-08,1.315267528161487e-08,0.00013608894047988646,0.9377396047115326,0.9635087013244629
5.695515002631982e-11,8.196262346887374e-10,2.113397036397462e-10,0.016569666741214663,0.9394697904586792,0.9635087013244629
3.577262053658929e-10,3.9952413242955886e-07,3.2139773752130415e-07,0.0006381486545837384,0.9381242275238038,0.9635087013244629
3.0824453697038463e-09,1.8333909519804093e-07,4.684775459344639e-09,0.017527602866862276,0.9369519174098968,0.9635087013244629
5.614699436933062e-11,2.844760638975772e-11,2.017944987985971e-11,0.003966418045184691,0.9373627305030823,0.9635087013244629
2.593494570498492e-10,3.0691262069465364e-07,3.6546040298666663e-10,0.00012832517559874533,0.9367456197738647,0.9635087013244629
7.440557821778472e-10,4.0034081067878986e-10,3.6546040298666663e-10,0.003500768741732397,0.9359555900096893,0.9635087013244629
1.4069219441558818e-07,8.829950045607779e-09,3.6546040298666663e-10,0.09516829456399763,0.9365297138690949,0.9635087013244629
8.38742678067064e-08,1.9665874732343969e-07,3.6546040298666663e-10,0.0005569708230815659,0.945306146144867,0.9635087013244629
5.251490437964464e-07,7.145734579959892e-11,3.6546040298666663e-10,0.033585564087038465,0.9617989718914032,0.9635087013244629
2.685863149328782e-07,3.2902897051862075e-10,3.6546040298666663e-10,0.000876727756336581,0.9369290947914124,0.9635087013244629
1.4097226223520852e-08,1.1116019049558305e-09,3.6546040298666663e-10,0.04052170597181092,0.9631996929645539,0.9635087013244629
5.132067802404308e-10,7.772567455601099e-11,3.6546040298666663e-10,0.00989305444578639,0.9374172925949097,0.9635087013244629
