k1,k2,k3,k4,r2,best_r2
3.4376455406664004e-08,9.702689828840479e-11,3.7003648223156154e-07,0.01709173671029333,0.9467925786972046,0.9467925786972046
2.37041270953033e-10,8.648485016246041e-07,4.3159109638826435e-09,0.0008460128362792294,0.9521374344825745,0.9521374344825745
2.009344283640164e-09,4.199359214189942e-07,1.4921784174026098e-09,0.0005613028734141668,0.9564069509506226,0.9564069509506226
1.9922841156535054e-11,3.523724713129599e-07,4.492348303177224e-07,0.00017301921266536788,0.937237000465393,0.9564069509506226
1.713807022872689e-10,1.530594988790702e-09,7.730400078841316e-10,0.0019242493499827655,0.9618645370006561,0.9618645370006561
4.303053685486953e-08,2.0021658074701383e-08,1.7745588020299363e-07,0.026619342121420194,0.935710209608078,0.9618645370006561
2.6373138214466536e-09,1.3207328793169329e-10,2.6294506807183637e-09,0.012073074609419329,0.9746534109115601,0.9746534109115601
5.472176885838947e-10,1.6383265367870807e-08,6.160150424569609e-11,0.005090536883283606,0.9373491764068603,0.9746534109115601
2.6682930720460365e-09,2.668606690566709e-08,2.3270699039083338e-10,0.09046930087944573,0.945263397693634,0.9746534109115601
6.01998962618273e-08,4.983780326402544e-10,3.926160615358689e-11,0.07398346230930943,0.9358889281749725,0.9746534109115601
1.3644231325331745e-11,3.3840521735435006e-11,1.832656737966652e-11,0.08036260140791474,0.9463633358478546,0.9746534109115601
2.283113166624739e-11,3.008430797429912e-11,1.5037800232716348e-10,0.0001392782234653841,0.9505996763706207,0.9746534109115601
1.1304324174499517e-11,1.2852625591779066e-08,6.227372423099339e-09,0.006761773574009243,0.9383846879005432,0.9746534109115601
6.842906068733855e-08,2.5005277404416943e-09,3.632772048246534e-08,0.01360111124223133,0.9376452445983887,0.9746534109115601
5.819282843265594e-09,1.7266239699908339e-09,2.0150897978507973e-10,0.004986777983185224,0.9389494121074676,0.9746534109115601
3.1512996012461095e-11,1.8497003459995396e-10,3.4032344851256234e-11,0.055895279475744894,0.9370981514453888,0.9746534109115601
5.544919442782852e-08,1.0307009548712225e-10,5.164530877091521e-10,0.00011565628515995033,0.9564641773700714,0.9746534109115601
1.8940275978161856e-10,9.124870318799802e-11,4.670720262710738e-10,0.024422020894013866,0.9572905361652374,0.9746534109115601
8.650895177362509e-07,5.162766488394312e-11,2.5165989201300786e-09,0.01809970900560382,0.9495336711406708,0.9746534109115601
5.435370699054485e-11,5.5993898650583613e-11,3.6637051773184154e-07,0.007706309053005232,0.9372744202613831,0.9746534109115601
2.902722732332077e-10,7.403136220639832e-09,4.2931971016419685e-07,0.004805015284850846,0.9625557839870453,0.9746534109115601
6.507010834591458e-08,3.713245498494125e-11,2.6963953129386677e-07,0.00017543644005627552,0.9362113118171692,0.9746534109115601
9.272161700075566e-10,1.3698286769141508e-10,5.413087250849009e-08,0.08366974975843751,0.9379048526287079,0.9746534109115601
1.9673388377851126e-07,2.4482249138723645e-10,7.311390416869119e-09,0.09678859317368346,0.9634472370147705,0.9746534109115601
1.4937182830915193e-08,4.6482475497036966e-10,3.3557493840005707e-10,0.0035010710200642807,0.9390159547328949,0.9746534109115601
1.2818431807652906e-10,1.4536557052563458e-10,5.914981351868136e-07,0.00013793849216174486,0.9373366057872772,0.9746534109115601
1.4069824718425704e-11,2.7481095255882032e-11,2.962674620120946e-11,0.0015090296239894322,0.9355798900127411,0.9746534109115601
5.488917608607909e-11,1.889356458474398e-10,6.809285652009651e-08,0.0003388203416055693,0.9383463501930237,0.9746534109115601
4.1637678313516985e-08,8.544418426593025e-07,8.938041932019474e-09,0.03739918513639691,0.9376397132873535,0.9746534109115601
3.2229187665088002e-09,4.5539214466419886e-11,7.352502464865328e-07,0.032731835560382096,0.9378879427909851,0.9746534109115601
5.872736829719732e-09,1.012901894144951e-09,9.137410173493006e-08,0.005873595271517856,0.9372110366821289,0.9746534109115601
4.0186146731755555e-08,6.977656808929319e-10,5.471038478443209e-10,0.0020778453542632074,0.9670144855976105,0.9746534109115601
3.9204358726127345e-09,1.2792587569317262e-10,1.0043864088405809e-09,0.055639761736168344,0.9603392362594605,0.9746534109115601
4.022947155360001e-08,6.75095537905394e-11,3.5228664758166925e-08,0.0048705476999625205,0.9556990981101989,0.9746534109115601
3.22703298428427e-07,2.8336319584299357e-08,6.675487792075595e-09,0.005626605072396978,0.9597361028194428,0.9746534109115601
1.802065254651809e-10,2.2917017307554677e-11,2.2350099326467176e-07,0.013481145253891371,0.9370474219322205,0.9746534109115601
5.233842631702008e-11,5.2669228685754446e-11,2.8560059598593242e-11,0.003787265497661594,0.9513833880424499,0.9746534109115601
1.8968990961110697e-07,5.4869251638207467e-08,3.7205191439075865e-09,0.01896456919293337,0.9376279294490815,0.9746534109115601
5.815460221645896e-11,3.5056914528867057e-08,1.9271879545506892e-07,0.0008501473133284898,0.9736392199993134,0.9746534109115601
3.918001826298912e-07,3.90016586280699e-09,2.3280740258308645e-07,0.00034365178166926175,0.9617975294589997,0.9746534109115601
7.380617455938405e-09,7.994865675535658e-10,3.209202611417085e-09,0.0006817086683142046,0.9471859753131866,0.9746534109115601
1.5314744170827733e-11,9.053477714759468e-09,3.1210860908162523e-08,0.012751585587421475,0.9369394540786743,0.9746534109115601
2.7250361336876624e-10,5.278441258888582e-07,8.161339865257945e-11,0.016823561847605528,0.9591670453548431,0.9746534109115601
7.746075864235046e-08,5.2809357926219786e-08,5.933552583796976e-08,0.0004801695360010331,0.9367803514003754,0.9746534109115601
4.544307308903052e-08,5.128822962944501e-09,1.3721846683241904e-08,0.04363064883826498,0.9770286440849304,0.9770286440849304
1.772532047598073e-07,5.366602045205851e-10,5.7077498866110606e-08,0.00033364367978420473,0.9372398316860199,0.9770286440849304
7.011331067062782e-07,1.6042216191640196e-07,3.948237175645534e-09,0.004826383492471398,0.9368825674057006,0.9770286440849304
1.6878480377014548e-09,1.9155268535703484e-08,1.4613958434436383e-09,0.003674466128889519,0.9513903141021729,0.9770286440849304
2.2731065744388685e-08,9.204963674222592e-08,1.0697468208466879e-08,0.003943881199781767,0.9368934452533721,0.9770286440849304
1.204593785405497e-11,2.6660076323746037e-07,6.146910124607612e-10,0.0004553990685198184,0.9373671472072601,0.9770286440849304
