k1,k2,k3,k4,r2,best_r2
0.017928689,5.81E-09,5.34E-05,3.79E-09,0.936534649,0.936534649
1.15E-08,7.31E-10,3.18E-09,4.74E-09,0.941627753,0.941627753
1.78E-10,5.54E-09,0.000232807,6.51E-06,0.952811849,0.952811849
1.36E-06,1.06E-07,2.29E-09,0.055603575,0.942721617,0.952811849
0.000125804,3.25E-06,3.83E-07,2.87E-08,0.935926819,0.952811849
1.10E-10,0.000945558,9.85E-06,0.000119778,0.937383413,0.952811849
1.21E-05,9.28E-06,0.000119764,8.49E-09,0.935988909,0.952811849
2.45E-06,2.40E-10,0.000171125,9.09E-09,0.936448312,0.952811849
3.36E-08,2.66E-07,1.12E-07,1.50E-10,0.937695134,0.952811849
0.433956655,1.23E-06,0.004786985,0.003572344,0.936630517,0.952811849
2.28E-10,0.029775818,0.285953885,7.21E-06,0.945265102,0.952811849
1.26E-10,0.462935925,0.941633039,5.56E-06,0.935337263,0.952811849
6.45E-09,0.001684433,0.676983353,2.63E-06,0.936064959,0.952811849
1.26E-09,0.751398882,0.012117102,9.60E-05,0.950440627,0.952811849
5.22E-09,0.000168691,0.004865585,0.00094577,0.942517853,0.952811849
1.89E-07,0.628860237,0.006033806,3.13E-07,0.935150415,0.952811849
0.000502712,1.01E-08,1.85E-06,0.515130662,0.935340846,0.952811849
1.57E-09,0.000157704,0.035837539,0.000320622,0.937010223,0.952811849
1.46E-07,0.022757109,0.000702528,7.45E-05,0.936892897,0.952811849
1.57E-09,1.01E-07,0.053023471,2.90E-07,0.936784464,0.952811849
1.73E-07,6.42E-09,0.000877076,0.016585806,0.934827006,0.952811849
6.85E-10,0.062184734,0.10170769,2.76E-05,0.936325878,0.952811849
4.35E-10,0.018947426,0.149712538,2.46E-06,0.967366159,0.967366159
7.46E-10,0.003237031,0.01386946,2.56E-07,0.937852061,0.967366159
4.83E-08,0.139400194,0.000873206,7.80E-07,0.936453325,0.967366159
3.65E-09,7.04E-05,3.62E-05,2.36E-05,0.937139976,0.967366159
4.12E-10,0.008390798,0.130184494,0.000879798,0.937681943,0.967366159
1.16E-08,0.807514754,0.001119274,2.05E-06,0.937382853,0.967366159
1.04E-10,3.06E-05,0.024717062,5.18E-08,0.986352152,0.976352152
0.002760739,6.57E-05,1.18E-05,3.81E-10,0.937260449,0.976352152
0.136995966,2.63E-08,0.036847238,5.19E-08,0.936077708,0.976352152
4.99E-10,0.107626051,0.0181502,9.83E-08,0.93826617,0.976352152
1.21E-10,8.42E-10,0.003026963,1.13E-09,0.956664747,0.976352152
1.29E-10,1.30E-09,0.000261064,5.64E-10,0.964245516,0.976352152
1.21E-10,7.30E-10,0.002385056,9.35E-10,0.935163456,0.976352152
2.08E-08,1.06E-09,0.224243197,8.84E-10,0.937555414,0.976352152
2.43E-09,1.74E-09,3.72E-05,3.07E-09,0.951484412,0.976352152
1.00E-10,2.40E-10,1.01E-08,1.12E-10,0.93690486,0.976352152
5.07E-10,1.01E-10,0.000308435,2.68E-08,0.937350947,0.976352152
1.26E-05,9.26E-07,3.28E-06,1.72E-09,0.937458408,0.976352152
5.61E-07,1.79E-05,1.57E-10,1.24E-08,0.935791224,0.976352152
3.18E-10,7.57E-08,6.29E-05,4.90E-09,0.954717934,0.976352152
2.90E-10,4.78E-08,0.000112141,4.27E-09,0.953479522,0.976352152
2.42E-09,2.76E-09,0.001972726,3.87E-10,0.936090863,0.976352152
2.40E-10,3.56E-07,1.00E-05,1.51E-08,0.936195582,0.976352152
8.73E-09,2.22E-08,0.000268924,7.66E-08,0.936703783,0.976352152
1.08E-10,3.65E-10,4.66E-07,4.45E-10,0.967175949,0.976352152
1.04E-10,2.65E-10,1.87E-07,2.72E-10,0.959592211,0.976352152
4.70E-08,3.23E-10,1.63E-07,3.20E-10,0.936510324,0.976352152
8.60E-10,0.000511946,2.33E-08,1.25E-10,0.978620225,0.976352152
