k1,k2,k3,k4,r2,best_r2
5.277029982441909e-08,1.087235569885614e-07,1.5181300891178872e-11,0.01041745492108949,0.9363730549812317,0.9363730549812317
4.3556949988555805e-08,1.9158269536085523e-11,1.8730060140186536e-07,0.027681955421315636,0.9446346461772919,0.9446346461772919
2.5397109964342445e-10,1.3494677237101448e-08,7.683397141927094e-09,0.051394946819944345,0.9491246461868286,0.9491246461868286
2.908640605710509e-07,8.614012922438367e-09,9.440329922841287e-09,0.00048600427682554415,0.9366700649261475,0.9491246461868286
2.6950629643524133e-11,6.34688599614991e-09,1.8813049427870012e-10,0.0037422899302437494,0.9359418392181397,0.9491246461868286
1.1860808983594771e-07,8.87894044219396e-09,3.122677293655873e-11,0.008541550689878398,0.9372686922550202,0.9491246461868286
4.0713518970655886e-08,2.5101870498398683e-08,9.007236939579025e-07,0.003494703049041695,0.9354769110679626,0.9491246461868286
7.725896024509868e-11,4.3573067790483166e-09,1.5978148366126627e-09,0.0013280219931799326,0.9373553574085236,0.9491246461868286
4.2014292622282183e-10,6.467296887547637e-08,7.683397141927094e-09,0.0017488076530152619,0.9356405913829804,0.9491246461868286
6.786844058579362e-08,1.2177149612722315e-11,7.683397141927094e-09,0.041418550234654246,0.9435084521770477,0.9491246461868286
3.367375700940954e-08,1.372769116114764e-10,7.683397141927094e-09,0.01059054822261199,0.9386936545372009,0.9491246461868286
7.278319110812437e-08,1.7248230627095135e-08,7.683397141927094e-09,0.002357541955332891,0.9361466288566589,0.9491246461868286
9.392501519533619e-10,6.309191391755834e-07,7.683397141927094e-09,0.001731765692854395,0.9698571860790253,0.9698571860790253
3.138144761394932e-08,1.458636558658595e-10,7.683397141927094e-09,0.0030555795642469514,0.971924239397049,0.971924239397049
3.8117193185117154e-10,1.1258148979716974e-07,7.683397141927094e-09,0.009538303272144192,0.9405087351799011,0.971924239397049
4.892525812252737e-10,9.514605043521721e-08,7.683397141927094e-09,0.0025596154977396883,0.9570585131645203,0.971924239397049
2.588943669208814e-08,2.25648139292322e-08,7.683397141927094e-09,0.006276761402103035,0.936985296010971,0.971924239397049
7.34046151547452e-07,3.1162581852457405e-10,7.683397141927094e-09,0.000338822089768436,0.9492764890193939,0.971924239397049
3.138144761394932e-08,1.0692202737920122e-09,7.683397141927094e-09,0.009190011714520442,0.9364087998867034,0.971924239397049
3.138144761394932e-08,1.537863308780644e-08,7.683397141927094e-09,0.08331750123269901,0.9353285074234009,0.971924239397049
3.138144761394932e-08,6.062370380206933e-07,7.683397141927094e-09,0.006697398818255929,0.9362760722637177,0.971924239397049
3.138144761394932e-08,3.202627555102488e-07,7.683397141927094e-09,0.0010432620432062685,0.9368303716182709,0.971924239397049
3.138144761394932e-08,9.89972612632958e-09,7.683397141927094e-09,0.001087078275382575,0.9368553996086121,0.971924239397049
3.138144761394932e-08,5.347182310253063e-07,7.683397141927094e-09,0.0010259618980486241,0.9352190554141998,0.971924239397049
3.138144761394932e-08,2.8943518557874494e-08,7.683397141927094e-09,0.0001740085344930809,0.9712367177009582,0.971924239397049
3.138144761394932e-08,2.8595182509271688e-11,7.683397141927094e-09,0.0019465778949651752,0.9365196824073792,0.971924239397049
3.138144761394932e-08,4.5476836900447867e-10,7.683397141927094e-09,0.007069618738842652,0.9771895825862884,0.9771895825862884
3.138144761394932e-08,3.5580786461074047e-10,7.683397141927094e-09,0.01464752463322589,0.9375240087509156,0.9771895825862884
3.138144761394932e-08,7.53904817986584e-09,7.683397141927094e-09,0.05457940869228069,0.9405486106872558,0.9771895825862884
3.138144761394932e-08,6.755097428088512e-08,7.683397141927094e-09,0.0012188387045144085,0.9367526590824127,0.9771895825862884
3.138144761394932e-08,1.2049471352773221e-11,7.683397141927094e-09,0.007069618738842652,0.9356266975402832,0.9771895825862884
3.138144761394932e-08,1.1122417977604278e-10,7.683397141927094e-09,0.007069618738842652,0.9378160417079926,0.9771895825862884
3.138144761394932e-08,2.5923732215804937e-10,7.683397141927094e-09,0.007069618738842652,0.9381428956985474,0.9771895825862884
3.138144761394932e-08,1.588345745423586e-10,7.683397141927094e-09,0.007069618738842652,0.9352923274040222,0.9771895825862884
3.138144761394932e-08,1.0297220921990538e-11,7.683397141927094e-09,0.007069618738842652,0.9599137485027314,0.9771895825862884
3.138144761394932e-08,1.2610932366939942e-11,7.683397141927094e-09,0.007069618738842652,0.9659368097782135,0.9771895825862884
3.138144761394932e-08,7.466478686683092e-08,7.683397141927094e-09,0.007069618738842652,0.9702649295330048,0.9771895825862884
3.138144761394932e-08,7.457733980598162e-10,7.683397141927094e-09,0.007069618738842652,0.9676075279712677,0.9771895825862884
3.138144761394932e-08,1.3223947357961984e-08,7.683397141927094e-09,0.007069618738842652,0.93815398812294,0.9771895825862884
3.138144761394932e-08,4.3970032594431615e-09,7.683397141927094e-09,0.007069618738842652,0.949627137184143,0.9771895825862884
3.138144761394932e-08,1.7178248870222834e-09,7.683397141927094e-09,0.007069618738842652,0.937230771780014,0.9771895825862884
