数据编号,槽开口宽度Bs0（mm）,永磁体轴向长度/动子极距            a,气隙厚度gap（mm）,线圈径向宽度rcoil（mm）,永磁体径向长度rpm（mm）,平均推力(解析法),推力波动（解析法）,铜损（解析法）
1357,2.2,0.8,1.1,10,6,103.1454294,68.48455264,23.91408253
1358,2.5,0.8,1.1,10,6,93.28001472,62.01621028,23.91408253
1359,2.8,0.8,1.1,10,6,107.1281828,51.7545678,23.91408253
1360,2.2,0.8,1.3,8,6,149.0854458,49.71999319,19.1911378
1361,2.5,0.8,1.3,8,6,134.7951645,45.03480909,19.1911378
1362,2.8,0.8,1.3,8,6,112.1236706,37.60177681,19.1911378
1363,2.2,0.8,1.3,9,6,116.8967948,56.39057439,21.5925433
1364,2.5,0.8,1.3,9,6,105.702623,51.07182562,21.5925433
1365,2.8,0.8,1.3,9,6,127.4537662,42.63364465,21.5925433
1366,2.2,0.8,1.3,10,6,95.04464054,63.17320209,23.9945073
1367,2.5,0.8,1.3,10,6,118.6110342,57.21024051,23.9945073
1368,2.8,0.8,1.3,10,6,143.0428812,47.7500176,23.9945073
1369,2.2,0.8,0.7,8,6.4,116.6535602,77.29979785,19.44849707
1370,2.5,0.8,0.7,8,6.4,105.5098547,69.99582074,19.44849707
1371,2.8,0.8,0.7,8,6.4,121.203235,58.40679296,19.44849707
1372,2.2,0.8,0.7,9,6.4,132.5147996,87.69992081,21.88207248
1373,2.5,0.8,0.7,9,6.4,119.8636485,79.4082468,21.88207248
1374,2.8,0.8,0.7,9,6.4,99.79040084,66.2520664,21.88207248
1375,2.2,0.8,0.7,10,6.4,148.6438212,98.27477165,24.31620639
1376,2.5,0.8,0.7,10,6.4,134.459784,88.97880079,24.31620639
1377,2.8,0.8,0.7,10,6.4,111.9543464,74.22912907,24.31620639
1378,2.2,0.8,0.9,8,6.4,99.05374703,65.76426038,19.57717671
1379,2.5,0.8,0.9,8,6.4,123.6255822,59.55729417,19.57717671
1380,2.8,0.8,0.9,8,6.4,149.114014,49.70823411,19.57717671
1381,2.2,0.8,0.9,9,6.4,112.534202,74.60446406,22.02683707
1382,2.5,0.8,0.9,9,6.4,101.7831733,67.55814675,22.02683707
1383,2.8,0.8,0.9,9,6.4,116.9187165,56.37722515,22.02683707
1384,2.2,0.8,0.9,10,6.4,126.2422597,83.5931785,24.47705594
1385,2.5,0.8,0.9,10,6.4,114.1885746,75.69340334,24.47705594
1386,2.8,0.8,0.9,10,6.4,95.06208607,63.15823598,24.47705594
1387,2.2,0.8,1.1,8,6.4,91.2696552,60.66229242,19.64151652
1388,2.5,0.8,1.1,8,6.4,113.9049179,54.94043494,19.64151652
1389,2.8,0.8,1.1,8,6.4,137.3740836,45.86085217,19.64151652
1390,2.2,0.8,1.1,9,6.4,103.6971306,68.81257089,22.09921936
1391,2.5,0.8,1.1,9,6.4,93.78635421,62.31696223,22.09921936
1392,2.8,0.8,1.1,9,6.4,107.7223763,52.00957225,22.09921936
1393,2.2,0.8,1.1,10,6.4,116.3344379,77.09976474,24.55748071
1394,2.5,0.8,1.1,10,6.4,105.222815,69.81740067,24.55748071
1395,2.8,0.8,1.1,10,6.4,120.8750572,58.26156806,24.55748071
1396,2.2,0.8,1.3,8,6.4,116.0481642,55.95837632,19.70585634
1397,2.5,0.8,1.3,8,6.4,104.9425537,50.6837326,19.70585634
1398,2.8,0.8,1.3,8,6.4,126.5498063,42.31354587,19.70585634
1399,2.2,0.8,1.3,9,6.4,95.54952106,63.47255705,22.17160166
1400,2.5,0.8,1.3,9,6.4,119.2504361,57.48463764,22.17160166
1401,2.8,0.8,1.3,9,6.4,143.8308732,47.9825734,22.17160166
1402,2.2,0.8,1.3,10,6.4,107.1996172,71.11296244,24.63790548
1403,2.5,0.8,1.3,10,6.4,96.95646589,64.39977951,24.63790548
1404,2.8,0.8,1.3,10,6.4,111.3686101,53.74681459,24.63790548
1405,2.2,0.8,0.7,8,6.8,130.4628466,86.31997719,19.96321561
1406,2.5,0.8,0.7,8,6.8,118.0146642,78.16393514,19.96321561
1407,2.8,0.8,0.7,8,6.8,98.25911628,65.22011134,19.96321561
1408,2.2,0.8,0.7,9,6.8,148.1916289,97.9398744,22.46113084
1409,2.5,0.8,0.7,9,6.8,134.0595861,88.68091303,22.46113084
1410,2.8,0.8,0.7,9,6.8,111.6317134,73.98673124,22.46113084
1411,2.2,0.8,0.7,10,6.8,114.6915321,109.7549999,24.95960457
1412,2.5,0.8,0.7,10,6.8,103.758957,99.37458274,24.95960457
1413,2.8,0.8,0.7,10,6.8,125.2300179,82.90062519,24.95960457
1414,2.2,0.8,0.9,8,6.8,110.7816217,73.42484981,20.09189525
1415,2.5,0.8,0.9,8,6.8,100.2037072,66.4942062,20.09189525
1416,2.8,0.8,0.9,8,6.8,115.1132492,55.4945155,20.09189525
1417,2.2,0.8,0.9,9,6.8,125.848133,83.30097412,22.60589543
1418,2.5,0.8,0.9,9,6.8,113.8393483,75.43311847,22.60589543
1419,2.8,0.8,0.9,9,6.8,94.78009151,62.94596959,22.60589543
1420,2.2,0.8,0.9,10,6.8,141.1689296,93.3430196,25.12045411
1421,2.5,0.8,0.9,10,6.8,127.7051347,84.52220046,25.12045411
1422,2.8,0.8,0.9,10,6.8,106.3366171,70.52259411,25.12045411
1423,2.2,0.8,1.1,8,6.8,102.0775634,67.72195574,20.15623506
1424,2.5,0.8,1.1,8,6.8,92.32666212,61.33317074,20.15623506
1425,2.8,0.8,1.1,8,6.8,106.0536943,51.19320012,20.15623506
1426,2.2,0.8,1.1,9,6.8,115.9666803,76.82689323,22.67827772
1427,2.5,0.8,1.1,9,6.8,104.8967787,69.57417026,22.67827772
1428,2.8,0.8,1.1,9,6.8,120.5114892,58.06299907,22.67827772
1429,2.2,0.8,1.1,10,6.8,130.0902188,86.08479078,25.20087888
1430,2.5,0.8,1.1,10,6.8,117.679064,77.95360987,25.20087888
1431,2.8,0.8,1.1,10,6.8,97.98067917,65.04819272,25.20087888
1432,2.2,0.8,1.3,8,6.8,94.05295292,62.46423549,20.22057488
1433,2.5,0.8,1.3,8,6.8,117.3889258,56.57496622,20.22057488
1434,2.8,0.8,1.3,8,6.8,141.5958673,47.22756002,20.22057488
1435,2.2,0.8,1.3,9,6.8,106.8565841,70.85818581,22.75066002
1436,2.5,0.8,1.3,9,6.8,96.65219758,64.17252672,22.75066002
1437,2.8,0.8,1.3,9,6.8,111.0290979,53.56109628,22.75066002
1438,2.2,0.8,1.3,10,6.8,119.8763236,79.39314683,25.28130365
1439,2.5,0.8,1.3,10,6.8,108.4355516,71.89771322,25.28130365
1440,2.8,0.8,1.3,10,6.8,90.27683984,60.00101442,25.28130365
