,R2,MAE,RMSE
RF,0.8377120384118737,4.217114972478743,6.766740213008257
SVM,0.6099222889014619,6.258796543636777,10.358983736668268
DNN,0.9397750556468963,5.430005025863648,7.805319833755493
DTNN,0.9822657823562622,2.849147343635559,4.230934834480285
PINN,0.9807283759117127,3.2319360733032227,4.40770993232727
TL-PINN,0.9844881176948548,2.689622330665588,3.940933442115784
