,R2,MAE,RMSE
RF,0.8794056044943368,3.68679542727138,5.895498904268028
SVM,0.7416618882275265,5.032454173805987,8.587604946462989
DNN,0.9791010320186615,3.378544545173645,4.57615213394165
DTNN,0.9832298815250397,2.7834279775619506,4.100418972969055
PINN,0.9812212824821472,3.1910656929016112,4.338607597351074
TL-PINN,0.9860846757888794,2.5924966812133787,3.7301127672195435
