,R2,MAE,RMSE
RF,0.8974931559608266,3.3729767248850755,5.4358087388313185
SVM,0.8283055037513709,4.121795939662725,7.0315511280134215
DNN,0.982200700044632,3.09283390045166,4.229605269432068
DTNN,0.985113900899887,2.6672948598861694,3.864044165611267
PINN,0.9834311425685882,2.80814471244812,4.073533201217652
TL-PINN,0.9874466300010681,2.4589098930358886,3.538883996009827
