数据编号,槽开口宽度Bs0（mm）,永磁体轴向长度/动子极距            a,气隙厚度gap（mm）,线圈径向宽度rcoil（mm）,永磁体径向长度rpm（mm）,平均推力（N）,推力波动（N）,平均铜损(W),平均铁损(W),,,,,,,平均铜损(mW),平均铁损(mW)
52,3,0.5,0.7,9,5.6,76.02783173,51.04161657,20.496548,1.17804257,,,,,,,20496.548,1178.04257
53,1,0.5,0.7,10,5.6,92.81401899,35.78511456,23.23624866,1.400174442,,,,,,,23236.24866,1400.174442
54,3,0.5,0.7,10,5.6,86.42823001,55.34288812,23.23624866,1.323493753,,,,,,,23236.24866,1323.493753
55,1,0.5,0.9,8,5.6,71.44921342,26.82863219,18.01734701,0.933739987,,,,,,,18017.34701,933.7399867
56,3,0.5,0.9,8,5.6,73.04137876,39.51870575,18.01734701,0.877722997,,,,,,,18017.34701,877.7229973
57,1,0.5,0.9,9,5.6,71.08436986,28.61141511,20.69105537,1.0398019,,,,,,,20691.05537,1039.8019
58,3,0.5,0.9,9,5.6,74.44231273,40.82495143,20.69105537,0.978809272,,,,,,,20691.05537,978.8092717
59,1,0.5,0.9,10,5.6,89.42063053,24.1462433,23.45295499,1.168639198,,,,,,,23452.95499,1168.639198
60,3,0.5,0.9,10,5.6,85.94513573,38.25170854,23.45295499,1.099241115,,,,,,,23452.95499,1099.241115
61,1,0.5,1.1,8,5.6,67.86264528,24.56593612,18.1897587,0.830539788,,,,,,,18189.7587,830.5397882
62,3,0.5,1.1,8,5.6,70.36365511,28.18303737,18.1897587,0.774515829,,,,,,,18189.7587,774.5158292
63,1,0.5,1.1,9,5.6,83.55910636,20.76594866,20.88550993,0.916603067,,,,,,,20885.50993,916.603067
64,3,0.5,1.1,9,5.6,90.48152559,38.91348071,20.88550993,0.854891126,,,,,,,20885.50993,854.891126
65,1,0.5,1.1,10,5.6,93.13076131,25.5158322,23.66959277,1.026533955,,,,,,,23669.59277,1026.533955
66,3,0.5,1.1,10,5.6,93.48055938,36.15615555,23.66959277,0.952545328,,,,,,,23669.59277,952.5453284
67,1,0.5,1.3,8,5.6,79.20345298,15.06944402,18.36213224,0.755351142,,,,,,,18362.13224,755.3511421
68,3,0.5,1.3,8,5.6,69.70993983,23.99856469,18.36213224,0.692515577,,,,,,,18362.13224,692.5155767
69,1,0.5,1.3,9,5.6,80.70535813,17.93491988,21.07991317,0.833692538,,,,,,,21079.91317,833.6925382
70,3,0.5,1.3,9,5.6,78.79202646,27.17326874,21.07991317,0.765625384,,,,,,,21079.91317,765.6253839
71,1,0.5,1.3,10,5.6,88.93032333,19.7040113,23.8861639,0.929305766,,,,,,,23886.1639,929.3057664
72,3,0.5,1.3,10,5.6,86.08128823,33.44774363,23.8861639,0.851875171,,,,,,,23886.1639,851.875171
73,1,0.5,0.7,8,6,81.99063122,34.68734407,18.1897587,1.164010289,,,,,,,18189.7587,1164.010289
74,3,0.5,0.7,8,6,77.2082027,45.10485814,18.1897587,1.122242956,,,,,,,18189.7587,1122.242956
75,1,0.5,0.7,9,6,87.05784827,25.11650431,20.88550993,1.296860787,,,,,,,20885.50993,1296.860787
76,3,0.5,0.7,9,6,94.45369859,43.49922537,20.88550993,1.248865407,,,,,,,20885.50993,1248.865407
77,1,0.5,0.7,10,6,97.28503454,44.36998441,23.66959277,1.474472232,,,,,,,23669.59277,1474.472232
78,3,0.5,0.7,10,6,97.26165616,55.91143032,23.66959277,1.399465104,,,,,,,23669.59277,1399.465104
79,1,0.5,0.9,8,6,79.81860632,26.30866991,18.36213224,1.01332627,,,,,,,18362.13224,1013.32627
80,3,0.5,0.9,8,6,79.14706823,34.81042998,18.36213224,0.96387778,,,,,,,18362.13224,963.8777795
81,1,0.5,0.9,9,6,94.30059609,22.72982177,21.07991317,1.114209748,,,,,,,21079.91317,1114.209748
82,3,0.5,0.9,9,6,97.60060261,43.38522243,21.07991317,1.058284748,,,,,,,21079.91317,1058.284748
83,1,0.5,0.9,10,6,99.18270082,24.44424367,23.8861639,1.24562844,,,,,,,23886.1639,1245.62844
84,3,0.5,0.9,10,6,89.76688198,45.28710467,23.8861639,1.195677863,,,,,,,23886.1639,1195.677863
85,1,0.5,1.1,8,6,75.86890835,18.52080957,18.53446871,0.906008246,,,,,,,18534.46871,906.008246
86,3,0.5,1.1,8,6,71.60869056,31.21527877,18.53446871,0.852759677,,,,,,,18534.46871,852.7596768
87,1,0.5,1.1,9,6,86.89495565,27.72841034,21.27426653,0.999678701,,,,,,,21274.26653,999.6787011
88,3,0.5,1.1,9,6,91.21041676,43.34974813,21.27426653,0.936447653,,,,,,,21274.26653,936.4476533
89,1,0.5,1.1,10,6,95.76236122,21.6108486,24.1026702,1.107505847,,,,,,,24102.6702,1107.505847
90,3,0.5,1.1,10,6,94.8518933,35.36714819,24.1026702,1.041419725,,,,,,,24102.6702,1041.419725
91,1,0.5,1.3,8,6,69.79193408,22.13881858,18.70676915,0.827512135,,,,,,,18706.76915,827.5121345
92,3,0.5,1.3,8,6,70.1932855,29.6574402,18.70676915,0.773538246,,,,,,,18706.76915,773.5382461
93,1,0.5,1.3,9,6,88.09018143,31.81634216,21.46857138,0.907855755,,,,,,,21468.57138,907.855755
94,3,0.5,1.3,9,6,84.41525817,37.45784545,21.46857138,0.843317589,,,,,,,21468.57138,843.3175893
95,1,0.5,1.3,10,6,94.08693443,20.24698779,24.31911344,1.004063556,,,,,,,24319.11344,1004.063556
96,3,0.5,1.3,10,6,91.30533382,30.81400082,24.31911344,0.938666915,,,,,,,24319.11344,938.666915
97,1,0.5,0.7,8,6.4,85.4689588,28.9621104,18.53446871,1.255889791,,,,,,,18534.46871,1255.889791
98,3,0.5,0.7,8,6.4,82.4196166,54.76090311,18.53446871,1.224337177,,,,,,,18534.46871,1224.337177
99,1,0.5,0.7,9,6.4,86.40702295,42.47591947,21.27426653,1.373568171,,,,,,,21274.26653,1373.568171
100,3,0.5,0.7,9,6.4,87.26491198,71.0494744,21.27426653,1.327773534,,,,,,,21274.26653,1327.773534
101,1,0.5,0.7,10,6.4,105.3032042,31.23161126,24.1026702,1.541131006,,,,,,,24102.6702,1541.131006
102,3,0.5,0.7,10,6.4,106.6208432,44.33672664,24.1026702,1.502844972,,,,,,,24102.6702,1502.844972
103,1,0.5,0.9,8,6.4,78.96581197,30.69982521,18.70676915,1.097457962,,,,,,,18706.76915,1097.457962
104,3,0.5,0.9,8,6.4,85.25588048,47.48786976,18.70676915,1.059698108,,,,,,,18706.76915,1059.698108
105,1,0.5,0.9,9,6.4,91.05757374,36.54029511,21.46857138,1.20225181,,,,,,,21468.57138,1202.25181
106,3,0.5,0.9,9,6.4,98.60288125,62.22971994,21.46857138,1.157095577,,,,,,,21468.57138,1157.095577
107,1,0.5,0.9,10,6.4,109.3715586,28.44397462,24.31911344,1.334646043,,,,,,,24319.11344,1334.646043
108,3,0.5,0.9,10,6.4,109.3309273,34.70060702,24.31911344,1.287669784,,,,,,,24319.11344,1287.669784
109,1,0.5,1.1,8,6.4,81.05310079,33.08369183,18.87903457,0.98403413,,,,,,,18879.03457,984.03413
110,3,0.5,1.1,8,6.4,79.63953652,41.9500757,18.87903457,0.943858694,,,,,,,18879.03457,943.8586943
111,1,0.5,1.1,9,6.4,94.64468535,27.21553876,21.66282905,1.081774947,,,,,,,21662.82905,1081.774947
112,3,0.5,1.1,9,6.4,95.49469149,32.49947193,21.66282905,1.016455136,,,,,,,21662.82905,1016.455136
113,1,0.5,1.1,10,6.4,105.6530231,25.85248432,24.53549533,1.194093831,,,,,,,24535.49533,1194.093831
114,3,0.5,1.1,10,6.4,101.5383853,37.79371388,24.53549533,1.140220352,,,,,,,24535.49533,1140.220352
115,1,0.5,1.3,8,6.4,95.00382448,17.72363599,19.05126592,0.90472958,,,,,,,19051.26592,904.7295796
116,3,0.5,1.3,8,6.4,91.22928609,32.92417236,19.05126592,0.850612876,,,,,,,19051.26592,850.6128756
117,1,0.5,1.3,9,6.4,92.8515568,25.65873505,21.85704081,0.993908498,,,,,,,21857.04081,993.9084983
118,3,0.5,1.3,9,6.4,96.52140514,37.77506519,21.85704081,0.931839013,,,,,,,21857.04081,931.8390126
119,1,0.5,1.3,10,6.4,105.0008291,21.24549951,24.75181749,1.085682455,,,,,,,24751.81749,1085.682455
120,3,0.5,1.3,10,6.4,104.2736876,32.3312036,24.75181749,1.018585206,,,,,,,24751.81749,1018.585206
121,1,0.5,0.7,8,6.8,88.83547133,37.82163359,18.87903457,1.344673144,,,,,,,18879.03457,1344.673144
122,3,0.5,0.7,8,6.8,89.97733506,44.07436445,18.87903457,1.322974215,,,,,,,18879.03457,1322.974215
123,1,0.5,0.7,9,6.8,108.265472,42.90614523,21.66282905,1.48363355,,,,,,,21662.82905,1483.63355
124,3,0.5,0.7,9,6.8,104.263721,44.88230808,21.66282905,1.439202217,,,,,,,21662.82905,1439.202217
125,1,0.5,0.7,10,6.8,112.4447593,43.13934108,24.53549533,1.645417134,,,,,,,24535.49533,1645.417134
126,3,0.5,0.7,10,6.8,114.3075207,64.41732674,24.53549533,1.607367935,,,,,,,24535.49533,1607.367935
127,1,0.5,0.9,8,6.8,97.2088284,24.95597637,19.05126592,1.18825967,,,,,,,19051.26592,1188.25967
128,3,0.5,0.9,8,6.8,93.94384956,42.28940985,19.05126592,1.148664448,,,,,,,19051.26592,1148.664448
129,1,0.5,0.9,9,6.8,101.3459452,32.95458066,21.85704081,1.302621351,,,,,,,21857.04081,1302.621351
130,3,0.5,0.9,9,6.8,104.3218738,43.66360939,21.85704081,1.256391769,,,,,,,21857.04081,1256.391769
131,1,0.5,0.9,10,6.8,113.822867,41.35591298,24.75181749,1.439397017,,,,,,,24751.81749,1439.397017
132,3,0.5,0.9,10,6.8,113.5297019,53.89615579,24.75181749,1.36992132,,,,,,,24751.81749,1369.92132
133,1,0.5,1.1,8,6.8,89.32895943,30.74806834,19.22346413,1.076894206,,,,,,,19223.46413,1076.894206
134,3,0.5,1.1,8,6.8,93.86552818,31.59691706,19.22346413,1.024048964,,,,,,,19223.46413,1024.048964
135,1,0.5,1.1,9,6.8,100.9232346,28.42104133,22.0512079,1.185670859,,,,,,,22051.2079,1185.670859
136,3,0.5,1.1,9,6.8,103.8277905,40.43177918,22.0512079,1.125014873,,,,,,,22051.2079,1125.014873
137,1,0.5,1.1,10,6.8,108.3772241,40.78675847,24.96808152,1.285789199,,,,,,,24968.08152,1285.789199
138,3,0.5,1.1,10,6.8,106.3333364,41.05653909,24.96808152,1.230987743,,,,,,,24968.08152,1230.987743
139,1,0.5,1.3,8,6.8,84.72752511,35.80554971,19.3956301,0.992428752,,,,,,,19395.6301,992.4287518
140,3,0.5,1.3,8,6.8,68.25376915,40.43222883,19.3956301,0.932367266,,,,,,,19395.6301,932.3672656
141,1,0.5,1.3,9,6.8,93.78539297,21.3927521,22.2453315,1.081562292,,,,,,,22245.3315,1081.562292
142,3,0.5,1.3,9,6.8,100.610812,31.49755124,22.2453315,1.029516713,,,,,,,22245.3315,1029.516713
143,1,0.5,1.3,10,6.8,112.3319625,25.42471386,25.18428894,1.174353753,,,,,,,25184.28894,1174.353753
